chi,elevation,flow distance,drainage area
14.533,1260,86075,4.01E+07
14.506,1260,86005,4.02E+07
14.487,1260,85955,4.02E+07
14.46,1260,85884,4.02E+07
14.441,1260,85834,4.03E+07
14.422,1260,85784,4.04E+07
14.403,1260,85734,4.04E+07
14.385,1254,85684,4.04E+07
14.366,1250,85634,4.05E+07
14.347,1249,85584,4.05E+07
14.328,1247,85534,4.05E+07
14.301,1242,85463,4.20E+07
14.275,1240,85393,4.20E+07
14.256,1237,85343,4.21E+07
14.23,1237,85272,4.21E+07
14.212,1232,85222,4.22E+07
14.186,1232,85151,4.22E+07
14.159,1232,85080,4.22E+07
14.133,1232,85010,4.22E+07
14.107,1232,84939,4.35E+07
14.081,1232,84868,4.35E+07
14.055,1232,84798,4.36E+07
14.029,1232,84727,4.37E+07
14.011,1232,84677,4.37E+07
13.993,1232,84627,4.37E+07
13.975,1224,84577,4.38E+07
13.957,1224,84527,4.38E+07
13.938,1224,84477,4.38E+07
13.92,1224,84427,4.38E+07
13.902,1224,84377,4.39E+07
13.876,1224,84306,4.39E+07
13.858,1224,84256,4.40E+07
13.832,1220,84185,4.41E+07
13.814,1220,84135,4.43E+07
13.796,1220,84085,4.43E+07
13.778,1220,84035,4.43E+07
13.752,1220,83965,4.43E+07
13.727,1220,83894,4.44E+07
13.701,1220,83823,4.44E+07
13.676,1220,83753,4.51E+07
13.65,1220,83682,4.51E+07
13.625,1220,83611,4.51E+07
13.599,1220,83540,4.51E+07
13.581,1220,83490,4.52E+07
13.563,1220,83440,4.52E+07
13.538,1211,83370,4.52E+07
13.52,1211,83320,4.52E+07
13.495,1211,83249,4.65E+07
13.47,1210,83178,4.65E+07
13.444,1210,83108,4.66E+07
13.419,1210,83037,4.69E+07
13.394,1210,82966,4.70E+07
13.369,1209,82895,4.70E+07
13.345,1203,82825,4.70E+07
13.327,1202.1,82775,4.71E+07
13.309,1202,82725,4.71E+07
13.292,1202,82675,4.71E+07
13.274,1202,82625,4.72E+07
13.256,1202,82575,4.72E+07
13.239,1202,82525,4.72E+07
13.221,1202,82475,4.72E+07
13.204,1202,82425,4.72E+07
13.179,1202,82354,4.80E+07
13.161,1202,82304,4.80E+07
13.144,1202,82254,4.80E+07
13.119,1202,82183,4.80E+07
13.102,1199.1,82133,4.80E+07
13.084,1199.1,82083,4.80E+07
13.059,1199,82013,4.81E+07
13.035,1199,81942,4.81E+07
13.01,1199,81871,4.81E+07
12.985,1199,81800,5.40E+07
12.962,1199,81730,5.40E+07
12.938,1199,81659,5.40E+07
12.915,1199,81588,5.41E+07
12.892,1199,81518,5.41E+07
12.868,1199,81447,5.44E+07
12.845,1199,81376,5.44E+07
12.821,1199,81305,5.44E+07
12.805,1199,81255,5.46E+07
12.788,1199,81205,5.46E+07
12.765,1199,81135,5.47E+07
12.749,1193,81085,5.47E+07
12.725,1191,81014,5.55E+07
12.709,1190,80964,5.56E+07
12.686,1190,80893,5.56E+07
12.669,1188,80843,5.56E+07
12.653,1188,80793,5.56E+07
12.63,1188,80723,5.57E+07
12.614,1188,80673,5.57E+07
12.597,1188,80623,5.57E+07
12.574,1187,80552,5.58E+07
12.558,1187,80502,5.58E+07
12.535,1187,80431,5.58E+07
12.512,1173,80361,5.58E+07
12.495,1173,80311,5.58E+07
12.472,1173,80240,5.63E+07
12.456,1173,80190,5.63E+07
12.44,1173,80140,5.63E+07
12.417,1173,80069,5.63E+07
12.394,1173,79998,6.02E+07
12.371,1173,79928,6.02E+07
12.349,1173,79857,6.02E+07
12.327,1173,79786,6.11E+07
12.305,1173,79716,6.11E+07
12.282,1173,79645,6.12E+07
12.267,1168.1,79595,6.12E+07
12.251,1168.1,79545,6.12E+07
12.229,1168.1,79474,6.13E+07
12.207,1168.1,79403,6.13E+07
12.185,1168.1,79333,6.13E+07
12.163,1168.1,79262,6.14E+07
12.14,1168.1,79191,6.14E+07
12.118,1168.1,79121,6.14E+07
12.096,1168.1,79050,6.14E+07
12.074,1168.1,78979,6.15E+07
12.052,1168.1,78908,6.15E+07
12.03,1168.1,78838,6.15E+07
12.014,1168.1,78788,6.15E+07
11.992,1168.1,78717,6.15E+07
11.97,1168.1,78646,6.15E+07
11.948,1168,78576,6.15E+07
11.926,1168,78505,6.73E+07
11.905,1168,78434,6.73E+07
11.883,1168,78363,6.74E+07
11.862,1168,78293,6.74E+07
